"mood", "email", "clientcode", "time", "day", "month", "year", "comment", "tags"
"bored", "war.sla@smsmt.com", "123", "10:00:00 AM", 5, 7, 2014, "New CEO Appointed", "news,change"
"happy", "fad.sud@smsmt.com", "123", "10:00:00 AM", 5, 7, 2014, "Bonus for everyone", "news,change, bonus"
"bored", "and.hit@smsmt.com", "123", "10:00:00 AM", 5, 7, 2014, "Payrise is 30% this year", "news,change, pay"
"postal", "tom.sti@smsmt.com", "123", "10:00:00 AM", 5, 7, 2014, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "456", "10:00:00 AM", 5, 7, 2014, "New CEO Appointed", "news,change"
"indifferent", "ada.roz@smsmt.com", "123", "10:00:00 AM", 5, 7, 2014, "New CEO Appointed", "news,change"
"happy", "war.sla@smsmt.com", "123", "10:00:00 AM", 5, 8, 2014, "New CEO Appointed", "news,change"
"happy", "fad.sud@smsmt.com", "123", "10:00:00 AM", 5, 8, 2014, "New CEO Appointed", "news,change"
"bored", "and.hit@smsmt.com", "123", "10:00:00 AM", 5, 8, 2014, "New CEO Appointed", "news,change"
"bored", "tom.sti@smsmt.com", "123", "10:00:00 AM", 5, 8, 2014, "New CEO Appointed", "news,change"
"happy", "tom.sti@smsmt.com", "456", "10:00:00 AM", 5, 8, 2014, "New CEO Appointed", "news,change"
"bored", "ada.roz@smsmt.com", "123", "10:00:00 AM", 5, 8, 2014, "New CEO Appointed", "news,change"
"indifferent", "war.sla@smsmt.com", "123", "10:00:00 AM", 5, 9, 2014, "New CEO Appointed", "news,change"
"postal", "fad.sud@smsmt.com", "123", "10:00:00 AM", 5, 9, 2014, "New CEO Appointed", "news,change"
"bored", "and.hit@smsmt.com", "123", "10:00:00 AM", 5, 9, 2014, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "123", "10:00:00 AM", 5, 9, 2014, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "456", "10:00:00 AM", 5, 9, 2014, "New CEO Appointed", "news,change"
"indifferent", "ada.roz@smsmt.com", "123", "10:00:00 AM", 5, 9, 2014, "Payrise is 30% this year", "news,change, pay"
"bored", "war.sla@smsmt.com", "123", "10:00:00 AM", 5, 10, 2014, "New CEO Appointed", "news,change"
"happy", "fad.sud@smsmt.com", "123", "10:00:00 AM", 5, 10, 2014, "New CEO Appointed", "news,change"
"bored", "and.hit@smsmt.com", "123", "10:00:00 AM", 5, 10, 2014, "New CEO Appointed", "news,change"
"happy", "tom.sti@smsmt.com", "123", "10:00:00 AM", 5, 10, 2014, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "456", "10:00:00 AM", 5, 10, 2014, "New CEO Appointed", "news,change"
"happy", "ada.roz@smsmt.com", "123", "10:00:00 AM", 5, 10, 2014, "New CEO Appointed", "news,change"
"postal", "war.sla@smsmt.com", "123", "10:00:00 AM", 5, 11, 2014, "New CEO Appointed", "news,change"
"happy", "fad.sud@smsmt.com", "123", "10:00:00 AM", 5, 11, 2014, "New CEO Appointed", "news,change"
"bored", "and.hit@smsmt.com", "123", "10:00:00 AM", 5, 11, 2014, "CPI is 5% this year", "news,change, pay"
"postal", "tom.sti@smsmt.com", "123", "10:00:00 AM", 5, 11, 2014, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "456", "10:00:00 AM", 5, 11, 2014, "New CEO Appointed", "news,change"
"indifferent", "ada.roz@smsmt.com", "123", "10:00:00 AM", 5, 11, 2014, "New CEO Appointed", "news,change"
"happy", "war.sla@smsmt.com", "123", "10:00:00 AM", 5, 12, 2014, "New CEO Appointed", "news,change"
"happy", "fad.sud@smsmt.com", "123", "10:00:00 AM", 5, 12, 2014, "New CEO Appointed", "news,change"
"bored", "and.hit@smsmt.com", "123", "10:00:00 AM", 5, 12, 2014, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "123", "10:00:00 AM", 5, 12, 2014, "New CEO Appointed", "news,change"
"bored", "tom.sti@smsmt.com", "456", "10:00:00 AM", 5, 12, 2014, "New CEO Appointed", "news,change"
"indifferent", "ada.roz@smsmt.com", "123", "10:00:00 AM", 5, 12, 2014, "New CEO Appointed", "news,change"
"indifferent", "war.sla@smsmt.com", "123", "10:00:00 AM", 5, 1, 2015, "New CEO Appointed", "news,change"
"happy", "fad.sud@smsmt.com", "123", "10:00:00 AM", 5, 1, 2015, "New CEO Appointed", "news,change"
"bored", "and.hit@smsmt.com", "123", "10:00:00 AM", 5, 1, 2015, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "123", "10:00:00 AM", 5, 1, 2015, "New CEO Appointed", "news,change"
"postal", "tom.sti@smsmt.com", "456", "10:00:00 AM", 5, 1, 2015, "New CEO Appointed", "news,change"
"happy", "ada.roz@smsmt.com", "123", "10:00:00 AM", 1, 1, 2015, "New CEO Appointed", "news,change"
