"mood", "email", "clientcode", "day", "month", "year"
"bored", "war.sla@smsmt.com", "123", 5, 7, 2014
"happy", "fad.sud@smsmt.com", "123", 5, 7, 2014
"bored", "and.hit@smsmt.com", "123", 5, 7, 2014
"postal", "tom.sti@smsmt.com", "123", 5, 7, 2014
"postal", "tom.sti@smsmt.com", "456", 5, 7, 2014
"indifferent", "ada.roz@smsmt.com", "123", 5, 7, 2014
"happy", "war.sla@smsmt.com", "123", 5, 8, 2014
"happy", "fad.sud@smsmt.com", "123", 5, 8, 2014
"bored", "and.hit@smsmt.com", "123", 5, 8, 2014
"bored", "tom.sti@smsmt.com", "123", 5, 8, 2014
"happy", "tom.sti@smsmt.com", "456", 5, 8, 2014
"bored", "ada.roz@smsmt.com", "123", 5, 8, 2014
"indifferent", "war.sla@smsmt.com", "123", 5, 9, 2014
"postal", "fad.sud@smsmt.com", "123", 5, 9, 2014
"bored", "and.hit@smsmt.com", "123", 5, 9, 2014
"postal", "tom.sti@smsmt.com", "123", 5, 9, 2014
"postal", "tom.sti@smsmt.com", "456", 5, 9, 2014
"indifferent", "ada.roz@smsmt.com", "123", 5, 9, 2014
"bored", "war.sla@smsmt.com", "123", 5, 10, 2014
"happy", "fad.sud@smsmt.com", "123", 5, 10, 2014
"bored", "and.hit@smsmt.com", "123", 5, 10, 2014
"happy", "tom.sti@smsmt.com", "123", 5, 10, 2014
"postal", "tom.sti@smsmt.com", "456", 5, 10, 2014
"happy", "ada.roz@smsmt.com", "123", 5, 10, 2014
"postal", "war.sla@smsmt.com", "123", 5, 11, 2014
"happy", "fad.sud@smsmt.com", "123", 5, 11, 2014
"bored", "and.hit@smsmt.com", "123", 5, 11, 2014
"postal", "tom.sti@smsmt.com", "123", 5, 11, 2014
"postal", "tom.sti@smsmt.com", "456", 5, 11, 2014
"indifferent", "ada.roz@smsmt.com", "123", 5, 11, 2014
"happy", "war.sla@smsmt.com", "123", 5, 12, 2014
"happy", "fad.sud@smsmt.com", "123", 5, 12, 2014
"bored", "and.hit@smsmt.com", "123", 5, 12, 2014
"postal", "tom.sti@smsmt.com", "123", 5, 12, 2014
"bored", "tom.sti@smsmt.com", "456", 5, 12, 2014
"indifferent", "ada.roz@smsmt.com", "123", 5, 12, 2014
"indifferent", "war.sla@smsmt.com", "123", 5, 1, 2015
"happy", "fad.sud@smsmt.com", "123", 5, 1, 2015
"bored", "and.hit@smsmt.com", "123", 5, 1, 2015
"postal", "tom.sti@smsmt.com", "123", 5, 1, 2015
"postal", "tom.sti@smsmt.com", "456", 5, 1, 2015
"happy", "ada.roz@smsmt.com", "123", 1, 1, 2015
